MKT_TP_CODE	SCR_CODE	SCR_NM	ENSCR_NM	TRDUNIT	MONEYTYPE	CAPITAL	CIRCULATSTOCK	ASSETSPERSHARE	LSTINCPERSHARE	CURINCPERSHARE	VOL_BASE_RATIO	RECTIME
1	122021	09广汇债		10	0	1000000000	1000000000	0	0	0	0	20160307172318
1	122027	09京城建		10	0	900000000	820000000	0	0	0	0	20160307172318
1	122028	09华发债		10	0	1800000000	1799279000	0	0	0	0	20160307172318
1	122032	09隧道债		10	0	1400000000	1309795000	0	0	0	0	20160307172318
1	122037	09三友债		10	0	960000000	960000000	0	0	0	0	20160307172318
1	122041	09招金债		10	0	1500000000	1500000000	0	0	0	0	20160307172318
1	122043	09紫江债		10	0	1000000000	855360000	0	0	0	0	20160307172318
1	122046	10中铁G2		10	0	5000000000	5000000000	0	0	0	0	20160307172318
1	122048	10首机02		10	0	3000000000	3000000000	0	0	0	0	20160307172318
1	122049	10营口港		10	0	1200000000	1200000000	0	0	0	0	20160307172318
1	122050	10杉杉债		10	0	600000000	590000000	0	0	0	0	20160307172318
1	122052	10石化02		10	0	9000000000	9000000000	0	0	0	0	20160307172318
1	122054	10中铁G3		10	0	2500000000	2500000000	0	0	0	0	20160307172318
1	122055	10中铁G4		10	0	3500000000	3500000000	0	0	0	0	20160307172318
1	122057	10龙源02		10	0	2000000000	2000000000	0	0	0	0	20160307172318
1	122059	10重钢债		10	0	2000000000	2000000000	0	0	0	0	20160307172318
1	122062	11西矿02		10	0	2000000000	2000000000	0	0	0	0	20160307172318
1	122064	11龙源02		10	0	1500000000	1500000000	0	0	0	0	20160307172318
1	122065	11上港01		10	0	5000000000	1193901000	0	0	0	0	20160307172318
1	122066	11大唐01		10	0	3000000000	3000000000	0	0	0	0	20160307172318
1	122067	11南钢债		10	0	4000000000	4000000000	0	0	0	0	20160307172318
1	122068	11海螺01		10	0	7000000000	7000000000	0	0	0	0	20160307172318
1	122069	11海螺02		10	0	2500000000	2500000000	0	0	0	0	20160307172318
1	122070	11海航01		10	0	3560000000	3560000000	0	0	0	0	20160307172318
1	122071	11海航02		10	0	1440000000	1440000000	0	0	0	0	20160307172318
1	122072	11大连港		10	0	2350000000	2350000000	0	0	0	0	20160307172318
1	122073	11云维债		10	0	1000000000	1000000000	0	0	0	0	20160307172318
1	122074	11士兰微		10	0	600000000	115805000	0	0	0	0	20160307172318
1	122075	11柳钢债		10	0	2000000000	2000000000	0	0	0	0	20160307172318
1	122076	11康恩贝		10	0	600000000	562423000	0	0	0	0	20160307172318
1	122077	11西钢债		10	0	1000000000	1000000000	0	0	0	0	20160307172318
1	122078	11东阳光		10	0	900000000	900000000	0	0	0	0	20160307172318
